X,Y,OBJECTID,MetroLine,Station,StopNumber,TOOLTIP,NLA_URL
-118.140600000531,33.9130699998752,61,Green Line,Lakewood Blvd Station,80313,Stop: Lakewood Blvd Station\nStop No: 80313\nGreen Line,"http://www.metro.net/riding/maps/green-line/?nla_target=1&nla_win=p,75,75"
-118.104717000042,33.9140330002109,62,Green Line,Norwalk Station,80314,Stop: Norwalk Station\nStop No: 80314\nGreen Line,"http://www.metro.net/riding/maps/green-line/?nla_target=1&nla_win=p,75,75"
-118.154468999959,34.0333980002392,63,Gold Line,Atlantic Station,80401,Stop: Atlantic Station\nStop No: 80401\nGold Line,"http://www.metro.net/riding/maps/gold-line/?nla_target=1&nla_win=p,75,75"
-118.161205999753,34.0333639999603,64,Gold Line,East LA Civic Center Station,80402,Stop: East LA Civic Center Station\nStop No: 80402\nGold Line,"http://www.metro.net/riding/maps/gold-line/?nla_target=1&nla_win=p,75,75"
-118.168140000157,34.0333190000255,65,Gold Line,Maravilla Station,80403,Stop: Maravilla Station\nStop No: 80403\nGold Line,"http://www.metro.net/riding/maps/gold-line/?nla_target=1&nla_win=p,75,75"
-118.192182000229,34.0343000003002,66,Gold Line,Indiana Station,80404,Stop: Indiana Station\nStop No: 80404\nGold Line,"http://www.metro.net/riding/maps/gold-line/?nla_target=1&nla_win=p,75,75"
-118.210060999821,34.043746999688,67,Gold Line,Soto Station,80405,Stop: Soto Station\nStop No: 80405\nGold Line,"http://www.metro.net/riding/maps/gold-line/?nla_target=1&nla_win=p,75,75"
-118.21964800016,34.0472150000343,68,Gold Line,Mariachi Plaza / Boyle Heights Station,80406,Stop: Mariachi Plaza / Boyle Heights Station\nStop No: 80406\nGold Line,"http://www.metro.net/riding/maps/gold-line/?nla_target=1&nla_win=p,75,75"
-118.225940000389,34.0476339997117,69,Gold Line,Pico / Aliso Station,80407,Stop: Pico / Aliso Station\nStop No: 80407\nGold Line,"http://www.metro.net/riding/maps/gold-line/?nla_target=1&nla_win=p,75,75"
-118.237901000267,34.0501000000861,70,Gold Line,Little Tokyo / Arts District Station,80408,Stop: Little Tokyo / Arts District Station\nStop No: 80408\nGold Line,"http://www.metro.net/riding/maps/gold-line/?nla_target=1&nla_win=p,75,75"
-118.234758999541,34.0560609997529,71,Gold Line,Union Station - Metro Gold Line,80409,Stop: Union Station - Metro Gold Line\nStop No: 80409\nGold Line,"http://www.metro.net/riding/maps/gold-line/?nla_target=1&nla_win=p,75,75"
-118.235839999673,34.0638609997117,72,Gold Line,Chinatown Station,80410,Stop: Chinatown Station\nStop No: 80410\nGold Line,"http://www.metro.net/riding/maps/gold-line/?nla_target=1&nla_win=p,75,75"
